"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","31","","","0.86401324453814","7.52496088426699e-19","","0.759584187049797","","7.21738677600931e-16","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","26","0.94454115880455","","","6.94486983180143e-24","","0.782358122223798","","2.05841395410105e-18","","","","",""
"ComplexClass","12","0.255723870022499","","0.0943681830652599","","","0.861027043861111","","0.071110188402692","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","1","0.773293600277175","","0.812665172620434","0.648090789978158","","","","0.609957393469626","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","47","0.0176367606107005","","0.395800958986491","0.736499337034841","","0.695558591199673","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
