"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","3","","","","1","","1","","1","","","","",""
"ComplexClass","20","","","1","","","1","","1","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","5","","","1","1","","","","1","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","14","","","1","1","","1","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
