"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","13","","","0.307430101224941","0.0018960034198986","","0.496503535160755","","0.237249464070163","","0.75357590197825","","0.769441135245347",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","21","0.953330135521477","","","0.00314971423227093","","0.385223846329244","","0.00675010432236187","","0.687671395670534","","0.707249604302913",""
"ComplexClass","53","8.31485820042082e-07","","0.241015355034276","","","0.368831032265464","","0.0087386565857458","","0.514963631112307","","0.542802884130266",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","49","0.114090722960735","","0.21288798570184","0.0180930869891239","","","","0.0276379056305414","","0.532162061680357","","0.559307198763992",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","195","0.166074239416739","","0.304085328450202","0.00460916319076427","","0.00025344321816006","","","","0.658024856384252","","0.770621108099686",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","2","0.757350576178991","","0.8086457254034","0.443835600500893","","0.793169590110458","","0.985816830427404","","","","5.64436585068571e-18",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0.828898777427809","","0.866303732216043","0.589137518675072","","0.855030876244112","","0.496251229235877","","3.39557877644889e-30","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
