"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","0","","","","","","","","","","","","",""
"ComplexClass","20","","","","","","0.0025062656641604","","-0.21015037593985","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","2","","","","0.0875299760191846","","","","-0.836930455635492","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","67","","","","0.0019504748982361","","-0.0149253731343284","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
