"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",2,0.00833333333333333,0.0910959155497467,0.00829846582984658,0,0,0,0,1,10.8170422649329,118.008403361345,1.24204341366895e-32,5.72922220609673e-06
"ComplexClass",3,0.0125,0.111334619456572,0.0123953974895397,0,0,0,0,1,8.77568562722299,78.0126582278481,2.38867165421648e-32,0.0107108037280244
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",4,0.0166666666666667,0.128286638609585,0.0164574616457462,0,0,0,0,1,7.55095683688779,58.0169491525424,4.35191809143569e-32,0.00324784627378893
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",8,0.0333333333333333,0.179880636077662,0.0323570432357043,0,0,0,0,1,5.19946946895745,28.0344827586207,3.46432337227153e-31,6.21182684265031e-05
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",17,0.0708333333333333,0.27287277932391,0.0744595536959554,0,0,0,0,2,3.9483282115738,18.974053475271,1.075626943202e-29,1.16129328375791e-13
"LOC",14614,60.8916666666667,66.0084685619716,4357.11792189679,5,20,39.5,76.25,432,3.02064061799202,15.0076380668643,1.04977630961901e-20,1.12119039608061e-08
"all",7058,29.4083333333333,84.1143867348981,7075.23005578801,0,0,2,12,650,4.42050262953442,24.8998359289425,9.75444326725687e-28,0
