"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",20,0.0477326968973747,0.213454980866189,0.0455630288565849,0,0,0,0,1,4.24265545540564,19.0001253132832,1.94396770982484e-38,1.2490009027033e-13
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",2,0.00477326968973747,0.0690061619296395,0.00476185038425963,0,0,0,0,1,14.3702747420872,207.50479616307,3.28265798583731e-41,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",67,0.159904534606205,0.366955651536666,0.134656450194699,0,0,0,0,1,1.8558211800641,4.44407225237449,4.56140063834524e-34,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",89,0.212410501193317,0.453839192780676,0.205970012903815,0,0,0,0,2,2.00174373086127,6.24420301472365,1.23759325404367e-32,0
"LOC",30651,73.1527446300716,86.7300467841235,7522.10101517626,6,17,48,103,859,3.64711569500961,24.7032077699312,1.30638622184739e-27,0
"all",640,1.52744630071599,6.88845410250723,47.4507999223487,0,0,0,0,79,6.13609311223333,50.5642741762655,3.9178372176344e-38,0
