"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",57,0.0202630643441166,0.140923853479498,0.0198595324795111,0,0,0,0,1,6.80966661012293,47.3715593410231,2.91888762485105e-78,1.11022302462516e-16
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",180,0.0639886242445787,0.244776182810746,0.0599153796713997,0,0,0,0,1,3.56316444494391,13.6961408617124,1.23096307913147e-74,0
"ComplexClass",152,0.0540348382509776,0.226126628211791,0.0511332519864336,0,0,0,0,1,3.9450855922663,16.5637003303072,2.32037134327877e-75,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",1,0.000355492356914326,0.018854504950126,0.000355492356914326,0,0,0,0,1,53.0094364770913,2811.00035561878,7.10050047560869e-81,0
"LongParameterList",352,0.125133309633843,0.330928837980099,0.109513895806859,0,0,0,0,1,2.2659454011122,6.13450856082154,7.2428749942051e-71,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",742,0.26377532883043,0.524736168215249,0.275348046233222,0,0,0,0,3,1.93409246808751,6.17580825301253,3.50411420141673e-65,0
"LOC",123926,44.0547458229648,68.3193477350616,4667.53327494426,2,14,24,50,1001,6.30235843987086,61.4573477132429,1.43610506536497e-67,0
"all",56,0.0199075719872023,0.448993332680064,0.201595012791151,0,0,0,0,20,34.8869753630409,1443.9322515687,1.55896947920249e-80,0
