"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","13","","","4.30141178574908e-08","0.487325991003899","","1","","0.482088947398186","","1","","1",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","21","4.30141178574908e-08","","","1","","0.61944999916552","","0.400048025855171","","1","","1",""
"ComplexClass","53","0.487325991003899","","1","","","0.168064913563529","","0.00167480681595024","","1","","1",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","49","1","","0.61944999916552","0.168064913563529","","","","7.73695366032558e-05","","1","","1",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","195","0.482088947398186","","0.40004802585517","0.00167480681595024","","7.73695366032556e-05","","","","1","","1",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","2","1","","1","1","","1","","1","","","","0.00187969924812036",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","1","","1","1","","1","","1","","0.00187969924812031","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
