"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","13","","","147.219472001016","8.16011574565344","","0","","0","","0","","0",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","16","147.219472001016","","","5.92297973415912","","0","","19.6282810271513","","0","","0",""
"ComplexClass","90","8.16011574565303","","5.92297973415904","","","0","","8.44406489198236","","5.47749362498862","","Inf",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","38","0","","0","0","","","","0","","3.49189858183589","","0",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","5","0","","19.6282810271513","8.44406489198236","","0","","","","0","","0",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","10","0","","0","5.47749362498862","","3.49189858183595","","0","","","","Inf",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0","","0","Inf","","0","","0","","Inf","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
