"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","26","","","2.57320496531784e-26","1","","1","","0.0419368081926232","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","30","2.57320496531788e-26","","","0.0216270723105758","","1","","0.278936635239395","","","","",""
"ComplexClass","51","1","","0.0216270723105758","","","1","","0.0118031871092813","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","11","1","","1","1","","","","0.58499931229965","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","70","0.0419368081926231","","0.278936635239395","0.0118031871092813","","0.58499931229965","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
