"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","21","","","0.214501150354571","0.394867893653346","","1","","1","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","11","0.214501150354571","","","1","","1","","1","","","","",""
"ComplexClass","6","0.394867893653345","","1","","","1","","1","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","1","1","","1","1","","","","1","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","10","1","","1","1","","1","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
