"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","217.29124345105","3.15456312652501","","0","","0","","0","","0",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","9","217.291243451014","","","11.2470922105126","","0","","0","","0","","0",""
"ComplexClass","100","3.15456312652477","","11.247092210512","","","0","","3.95813485426945","","0","","7.36459055439329",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","21","0","","0","0","","","","0","","0","","0",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","20","0","","0","3.95813485426945","","0","","","","23.7009127980786","","0",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","6","0","","0","0","","0","","23.7009127980804","","","","0",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","4","0","","0","7.36459055439379","","0","","0","","0","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
