"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","27.7012782338592","9.61901871932217","","","","15.8142059304462","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","27","27.7012782338592","","","1.11806569201406","","","","3.67961106667598","","","","",""
"ComplexClass","41","9.6190187193226","","1.11806569201403","","","","","9.85711381347013","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","10","15.8142059304462","","3.67961106667601","9.85711381347013","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
