"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","708","","","0.0366235081311661","0.171566047157842","","","","0.121140067262274","","0.00298179535467671","","0.00541431261770245",""
"Blob_0","718","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","694","0.00987502639757104","","","0.167586271612195","","","","0.121382406115148","","0.00304194684598143","","0.0048030739673391",""
"ComplexClass_0","658","0.0094124642206949","","0.0371596417589059","","","","","0.121628211204183","","0.00303951367781155","","0.0058257345491388",""
"LargeClass_0","718","","","","","","","","","","","","",""
"LazyClass_0","718","","","","","","","","","","","","",""
"LongMethod_0","718","","","","","","","","","","","","",""
"LongParameterList_0","688","0.0101516141687883","","0.0377874819365977","0.17172034399386","","","","","","0.00306847545219638","","0.00218023255813953",""
"MessageChains_0","718","","","","","","","","","","","","",""
"RefusedParentBequest_0","716","0.00996732074475926","","0.0380765043159203","0.171394918139319","","","","0.120135708968841","","","","0.00535381750465549",""
"SpaghettiCode_0","718","","","","","","","","","","","","",""
"SpeculativeGenerality_0","717","0.0099534193211264","","0.0377444589821463","0.17185322369282","","","","0.119131335595105","","0.00294436696110336","","",""
"SwissArmyKnife_0","718","","","","","","","","","","","","",""
"AntiSingleton_1","10","","","0.133333333333333","0.175","","","","0.025","","0","","0",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","24","0.0118055555555556","","","0.288078703703704","","","","0.0740740740740741","","0","","0.0208333333333333",""
"ComplexClass_1","60","0.0157200032671731","","0.0468622135473144","","","","","0.0997634108222918","","0.00185185185185185","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","0","","","","","","","","","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","30","0.00507637017070979","","0.0421663172606569","0.169172157332535","","","","","","0","","0.0777777777777778",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","2","0","","0","0.25","","","","0","","","","0",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","1","0","","0.2","0","","","","0.6","","0","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
