"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","1063","","","0.0309804116952325","0.10647912528379","","0.0140771956320942","","0.285069059460277","","","","0.00141110065851364",""
"Blob_0","1115","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","1095","0.0439998082168788","","","0.105758856598343","","0.01366580726659","","0.282188369659523","","","","0.00136986301369863",""
"ComplexClass_0","1040","0.03957654506849","","0.0264876074952801","","","0.0134073565323565","","0.269361395825407","","","","0.00144230769230769",""
"LargeClass_0","1115","","","","","","","","","","","","",""
"LazyClass_0","1062","0.0455519253681074","","0.0319212355415938","0.109355380949175","","","","0.287309766524702","","","","0.00141242937853107",""
"LongMethod_0","1115","","","","","","","","","","","","",""
"LongParameterList_0","862","0.0375209731718131","","0.0222742987851936","0.0835708027125815","","0.01283533521684","","","","","","0.00174013921113689",""
"MessageChains_0","1115","","","","","","","","","","","","",""
"RefusedParentBequest_0","1115","","","","","","","","","","","","",""
"SpaghettiCode_0","1115","","","","","","","","","","","","",""
"SpeculativeGenerality_0","1113","0.0434646403781941","","0.0304585374170464","0.106590668973966","","0.0134447969064835","","0.281931391478797","","","","",""
"SwissArmyKnife_0","1115","","","","","","","","","","","","",""
"AntiSingleton_1","52","","","0.0186187406373169","0.104771238295279","","0","","0.206946702108195","","","","0",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","20","0.00981773717238833","","","0.141473329641934","","0","","0.239668696936139","","","","0",""
"ComplexClass_1","75","0.09622050492934","","0.0847098713344176","","","0.0136054421768707","","0.448717160766371","","","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","53","0","","0","0.0471698113207547","","","","0.163522012578616","","","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","253","0.0633718018451669","","0.0581023975981652","0.184179377983314","","0.0154150197628458","","","","","","0",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","2","0","","0","0","","0","","0","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
