"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",5,0.00206185567010309,0.0453701803832342,0.00205845326800721,0,0,0,0,1,21.9545454545454,483.002066115702,6.42568506973433e-77,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",18,0.00742268041237113,0.0858523363706788,0.00737062366030417,0,0,0,0,1,11.4773559851927,132.729700410839,3.87615636861606e-76,0
"ComplexClass",150,0.0618556701030928,0.240942909754463,0.0580534857609472,0,0,0,0,1,3.63766418634276,14.2326007326007,2.44584606245867e-71,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",2,0.000824742268041237,0.0287124019864526,0.000824402027831649,0,0,0,0,1,34.7778783916304,1210.50082542303,3.79686060467518e-77,0
"LongParameterList",490,0.202061855670103,0.40162093740294,0.161299377360416,0,0,0,0,1,1.4839843550378,3.20220956599694,5.79750697592578e-64,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",2,0.000824742268041237,0.0287124019864526,0.000824402027831649,0,0,0,0,1,34.7778783916304,1210.50082542303,3.79686060467518e-77,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",667,0.275051546391753,0.518447088807555,0.268787383893028,0,0,0,0,3,1.7438055286732,5.26377199823886,2.84500181572815e-61,0
"LOC",103708,42.7661855670103,47.1280837914612,2221.05628185499,0,14,27,54,458,3.15492857867758,17.6335451357905,8.44901833122585e-55,0
"all",727,0.29979381443299,4.89481143665149,23.9591790003743,0,0,0,0,151,22.7230280733227,580.13007473752,1.29182048709681e-76,0
