"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","0.00842450765864333","-0.305634573304158","","0.0314004376367615","","0.0310175054704595","","0.00382932166301969","","0.0088074398249453",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","9","0.0227670753064799","","","-0.421288188363495","","0.0359019264448336","","0.0354640980735552","","0.00437828371278459","","0.0100700525394046",""
"ComplexClass","100","-0.0386912904696762","","-0.0631144550843593","","","-0.0239899680802554","","-0.117204742362061","","0.00455996352029184","","8.20793433652527e-05",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","21","0.022887323943662","","0.0096830985915493","0.000503018108651922","","","","-0.108002179745137","","0.00440140845070423","","0.0101232394366197",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","20","0.0228772547294325","","0.00967883853937527","-0.359260888693357","","-0.113132424109107","","","","-0.0461504619445667","","0.0101187857457105",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","6","0.0227372103191955","","0.00961958898119808","0.190642763445562","","0.0358548316571928","","-0.135475878151873","","","","0.010056843025798",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","4","0.0170380078636959","","0.0072083879423329","-0.495303626037571","","0.026867627785059","","0.0265399737876802","","0.00327653997378768","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
