"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",1,0.00154798761609907,0.0393444737682317,0.00154798761609907,0,0,0,0,1,25.3574752368527,644.001550387597,5.28837665307952e-49,0
"ComplexClass",45,0.0696594427244582,0.25476946587092,0.0649074807401541,0,0,0,0,1,3.38089200708071,12.4304307635422,2.2857012828457e-44,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",27,0.0417956656346749,0.200277005951675,0.0401108791129671,0,0,0,0,1,4.57925153991665,21.969544665829,7.14732913158758e-46,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",103,0.159442724458204,0.366372114347954,0.134228526171791,0,0,0,0,1,1.86051917073911,4.46153158468773,1.14827179810075e-40,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",176,0.272445820433437,0.501238057297408,0.251239590083279,0,0,0,0,2,1.63236638726155,4.76967235565702,3.34098469776289e-37,0
"LOC",39927,61.8065015479876,82.3262823396386,6777.61676386589,2,19,36,74,1089,5.40040893518295,51.6995813012517,9.13167980356005e-37,0
"all",2030,3.14241486068111,14.2396377573916,202.767283461732,0,0,0,0,125,5.95416569885452,41.4212493597933,3.11115584738035e-45,0
