"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","101","","","","","","","","","","","","",""
"Blob_0","101","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","101","","","","","","","","","","","","",""
"ComplexClass_0","97","","","","","","0.00609184629803187","","0.0634306987399771","","","","",""
"LargeClass_0","101","","","","","","","","","","","","",""
"LazyClass_0","99","","","","0.0467171717171717","","","","0.0750561167227834","","","","",""
"LongMethod_0","101","","","","","","","","","","","","",""
"LongParameterList_0","94","","","","0.0291075650118203","","0.0062862669245648","","","","","","",""
"MessageChains_0","101","","","","","","","","","","","","",""
"RefusedParentBequest_0","101","","","","","","","","","","","","",""
"SpaghettiCode_0","101","","","","","","","","","","","","",""
"SpeculativeGenerality_0","101","","","","","","","","","","","","",""
"SwissArmyKnife_0","101","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","0","","","","","","","","","","","","",""
"ComplexClass_1","4","","","","","","0","","0.319444444444444","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","2","","","","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","7","","","","0.26984126984127","","0","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
