"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","2756","","","0.0381883274114131","0.0604937928032066","","","","0.0985295072621047","","","","",""
"Blob_0","2813","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","2633","0.00849102743605063","","","0.0607285506714844","","","","0.0993020662094109","","","","",""
"ComplexClass_0","2661","0.0102994645768964","","0.0391838404564162","","","","","0.0951185815844924","","","","",""
"LargeClass_0","2813","","","","","","","","","","","","",""
"LazyClass_0","2813","","","","","","","","","","","","",""
"LongMethod_0","2812","0.00986832588263814","","0.0386913740750242","0.0594787433495628","","","","0.0973516417211434","","","","",""
"LongParameterList_0","2461","0.00999535427907881","","0.0412510514852344","0.054648067618301","","","","","","","","",""
"MessageChains_0","2813","","","","","","","","","","","","",""
"RefusedParentBequest_0","2813","","","","","","","","","","","","",""
"SpaghettiCode_0","2813","","","","","","","","","","","","",""
"SpeculativeGenerality_0","2813","","","","","","","","","","","","",""
"SwissArmyKnife_0","2813","","","","","","","","","","","","",""
"AntiSingleton_1","57","","","0.0623353254932202","0.00935672514619883","","","","0.0386928860613071","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","180","0.0299603174603175","","","0.0408664021164021","","","","0.0682804232804233","","","","",""
"ComplexClass_1","152","0.00225563909774436","","0.0298154239766082","","","","","0.135804413970532","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","0","","","","","","","","","","","","",""
"LongMethod_1","1","0","","0","0","","","","0","","","","",""
"LongParameterList_1","352","0.00895217471922017","","0.0206855289596767","0.0930833292338974","","","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
