"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",8,0.00348887919755778,0.0589764682508063,0.00347822380733837,0,0,0,0,1,16.8412737372828,284.628501094092,2.37626500778217e-75,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",9,0.00392498909725251,0.0625403014849428,0.00391128930982754,0,0,0,0,1,15.8676311475002,252.781718233119,2.76255134251152e-75,0
"ComplexClass",100,0.0436109899694723,0.2042725365744,0.0417272691985396,0,0,0,0,1,4.46940707870775,20.9755996352029,2.18195636568131e-71,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",21,0.00915830789358918,0.0952805985861946,0.00907839246694355,0,0,0,0,1,10.3053247958627,107.199719148223,1.36443282346012e-74,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",20,0.00872219799389446,0.0930048039633583,0.0086498935602627,0,0,0,0,1,10.5668727135386,112.658798944127,1.20734684571358e-74,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",6,0.00261665939816834,0.0510974671917106,0.00261095115340794,0,0,0,0,1,19.4722697750143,380.169290190934,1.73528221710555e-75,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",4,0.00174443959877889,0.0417391459049503,0.00174215630087473,0,0,0,0,1,23.8799444615767,571.251747487986,1.23861778380965e-75,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",168,0.0732664631487135,0.279998780063891,0.0783993168372671,0,0,0,0,2,3.96804802258187,19.2912244227084,1.32919405287962e-69,0
"LOC",193103,84.2141299607501,288.010631486275,82950.1238491227,0,20,41,85,8990,26.2040362924391,799.806732968137,7.41763640704115e-73,0
"all",657,0.286524204099433,3.28348992800178,10.7813061072891,0,0,0,0,84,15.8164112807113,297.817939435757,1.03570110834481e-74,0
