"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","6","","","","0.133879781420765","","0.00728597449908925","","0.10200364298725","","","","",""
"ComplexClass","33","","","-0.0186926738650877","","","0.00766283524904215","","-0.17601300359921","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","12","","","0.0128913443830571","0.27255985267035","","","","0.103130755064457","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","26","","","0.0132325141776938","-0.220444961465755","","0.00756143667296786","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
