"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",5,0.0403225806451613,0.197512726702727,0.0390112772095463,0,0,0,0,1,4.67354435163749,22.8420168067227,4.45638609599131e-23,0.000882126679111916
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",7,0.0564516129032258,0.231728020939278,0.0536978756884343,0,0,0,0,1,3.84371106798037,15.7741147741148,1.69804393337592e-22,1.33652112510596e-05
"ComplexClass",6,0.0483870967741935,0.215453339776322,0.046420141620771,0,0,0,0,1,4.20921775681584,18.7175141242938,8.86470241419968e-23,0.000174063201529906
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",23,0.185483870967742,0.390266439816034,0.152307894046682,0,0,0,0,1,1.61834085411674,3.61902712010332,3.51764306763267e-19,4.13218459449638e-10
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",41,0.330645161290323,0.671387038892364,0.450760555992657,0,0,0,0,3,2.25284364774601,7.93400829884298,7.75256909099212e-18,1.51489931710103e-12
"LOC",8203,66.1532258064516,199.444188837515,39777.9844610543,6,15,27.5,52,2125,9.14403212973214,93.4538904402341,1.06673078842427e-22,4.44089209850063e-16
"all",49,0.395161290322581,2.74030010933494,7.50924468922109,0,0,0,0,27,8.33872390903476,76.6415403161477,8.10179576929371e-24,0
