"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","5.9321579923757e-17","0.334714935018346","","","","1","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","24","5.93215799237566e-17","","","0.0281992082043896","","","","0.0554440602215749","","","","",""
"ComplexClass","108","0.334714935018344","","0.0281992082043897","","","","","1.43510073297918e-07","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","80","1","","0.0554440602215748","1.43510073297917e-07","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
