"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","0.00102249488752556","0.0143149284253579","-0.044478527607362","","","","0.0685071574642127","","0.00766871165644172","","",""
"Blob","2","0.00229709035222052","","0.0071465033180194","-0.422664624808576","","","","0.03420112302195","","0.00382848392036753","","",""
"ClassDataShouldBePrivate","20","0.00463678516228748","0.00103039670273055","","-0.0688820195775374","","","","0.0157393096342092","","0.00772797527047913","","",""
"ComplexClass","154","-0.002044717872056","-0.00594010306240522","-0.0126025054082608","","","","","-0.0932951940146185","","0.0012828897720984","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","79","0.00478214665249734","0.00106269925611052","0.00154696727155329","-0.20905581188878","","","","","","0.00797024442082891","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","2","0.00229709035222052","0.000510464522715671","0.0071465033180194","-0.377998979070955","","","","0.03420112302195","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
