"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","13","","","0.0383653044203503","0.084750112273048","","-0.0574838006030667","","0.00583819849874896","","-0.0558798999165972","","-0.0735869634952204",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","16","0.0188127090301003","","","-0.0226797658862876","","0.0195965719063545","","0.00548704013377926","","-0.0420150501672241","","-0.0592600334448161",""
"ComplexClass","90","-0.0144781144781145","","-0.0185383244206774","","","-0.00139631610219846","","-0.0177658942364825","","-0.0483462071697366","","-0.0195187165775401",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","38","-0.062001255267641","","0.0391822827938671","0.138460503900296","","","","0.00596252129471891","","-0.00535730296781135","","0.00425894378194208",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","5","0.019884009942005","","0.0381110190555095","-0.20082850041425","","0.0207125103562552","","","","0.0215410107705054","","0.00414250207125104",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","10","-0.0792845257903494","","-0.0597337770382696","-0.256655574043261","","-0.0789517470881864","","0.00582362728785358","","","","-0.0969217970049917",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","-0.965317919075145","","-0.93476465730801","-0.685383980181668","","0.0206440957886045","","0.00578034682080925","","-0.960363336085879","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
