"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","838","","","0.0308648473609466","0.228476768363223","","0.00571473240269914","","0.120998766152165","","","","0.000550821729881016",""
"Blob_0","850","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","834","0.0626885994946418","","","0.230006543165834","","0.0057421411912013","","0.118135916443529","","","","0.000553463560719774",""
"ComplexClass_0","806","0.0651083679247974","","0.0290489029270988","","","0.00590808774991918","","0.117598769455944","","","","0.000549281247037208",""
"LargeClass_0","850","","","","","","","","","","","","",""
"LazyClass_0","833","0.0641317107508455","","0.0314876787400571","0.231425939288903","","","","0.123874205628165","","","","0.000554127982761454",""
"LongMethod_0","850","","","","","","","","","","","","",""
"LongParameterList_0","775","0.0659674173538239","","0.0307202569834481","0.230722213962914","","0.00610278795086287","","","","","","0.000595598205987473",""
"MessageChains_0","850","","","","","","","","","","","","",""
"RefusedParentBequest_0","850","","","","","","","","","","","","",""
"SpaghettiCode_0","850","","","","","","","","","","","","",""
"SpeculativeGenerality_0","849","0.0629231037166717","","0.030894271366864","0.227260864657624","","0.00564068993340622","","0.122521256326967","","","","",""
"SwissArmyKnife_0","850","","","","","","","","","","","","",""
"AntiSingleton_1","12","","","0.0303745251661918","0.137300739384073","","0","","0.218631715506716","","","","0",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","16","0.0712139423076923","","","0.080355235042735","","0","","0.343449519230769","","","","0",""
"ComplexClass_1","44","0.0214629660924458","","0.063995923436953","","","0.000614250614250614","","0.209907691820561","","","","0.000428816466552316",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","17","0","","0","0.0196078431372549","","","","0.0490196078431373","","","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","75","0.030626221416544","","0.0322804963772706","0.190685665863085","","0.000790467887242081","","","","","","0",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","1","0","","0","0.166666666666667","","0","","0","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
