"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",6,0.0108108108108108,0.103504784025321,0.0107132403161284,0,0,0,0,1,9.46102156015663,90.5109289617486,2.28761649180849e-45,8.39664940986973e-05
"ComplexClass",33,0.0594594594594595,0.236695961196296,0.0560249780466387,0,0,0,0,1,3.72577511519233,14.8814002089864,2.49042570339163e-42,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",12,0.0216216216216216,0.14557579278513,0.021192311445019,0,0,0,0,1,6.57815319428742,44.2720994475138,1.52693269294257e-44,0.00032694211836648
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",26,0.0468468468468468,0.211501346241723,0.0447328194620613,0,0,0,0,1,4.28897460758724,19.3953031845281,5.38739467763555e-43,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",77,0.138738738738739,0.356267040550374,0.126926204182522,0,0,0,0,2,2.32732158075757,7.2226779412261,6.03087713442513e-39,0
"LOC",39745,71.6126126126126,78.3366763316226,6136.6348586854,2,30,47,95,1017,4.79436310208288,45.5405745735785,3.33076751470271e-32,0
"all",2633,4.74414414414414,14.7496355255996,217.55174813803,0,0,0,2,162,6.01032481507307,47.7287145526816,2.48335556482694e-40,0
