"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","66.9248816363147","56.9376514638647","","0","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","6","66.924881636315","","","6.72219578556562","","0","","","","","","",""
"ComplexClass","32","56.9376514638647","","6.72219578556572","","","0","","","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","3","0","","0","0","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","0","","","","","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
