"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","0.0137299771167048","-0.034324942791762","","0.0022883295194508","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","6","0.0229357798165138","","","0.159785932721713","","0.00229357798165138","","","","","","",""
"ComplexClass","32","-0.009375","","-0.0190548780487805","","","0.00236280487804878","","","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","3","0.0227790432801822","","0.0136674259681093","0.291571753986333","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","0","","","","","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
