"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",25,0.0197472353870458,0.139185431281038,0.0193725842808884,0,0,0,0,1,6.9036327425725,48.6601450443191,2.61702206221895e-60,4.15923032348609e-07
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",55,0.0434439178515008,0.203934780937489,0.0415893948760217,0,0,0,0,1,4.47924087641162,21.0635988289167,1.67613327449442e-58,0
"ComplexClass",91,0.0718799368088468,0.258391078038307,0.0667659492097984,0,0,0,0,1,3.31504671469326,11.9895347205986,9.95418433323701e-57,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",24,0.018957345971564,0.136428248372172,0.0186126669538992,0,0,0,0,1,7.0547376755977,50.7693236714976,2.23235629374331e-60,2.42771253289309e-06
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",115,0.0908372827804107,0.287491140925893,0.0826511561108717,0,0,0,0,1,2.84756189945027,9.10860877120085,1.09399306274497e-55,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",4,0.00315955766192733,0.0687974731206632,0.00473309230778837,0,0,0,0,2,24.1484977893521,631.22456708043,3.59547011836215e-62,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",314,0.248025276461295,0.533554019618177,0.284679891850714,0,0,0,0,4,2.32588504258925,8.91359530546877,3.32512019631219e-50,0
"LOC",108770,85.9162717219589,461.527064134594,213007.230928698,2,17,34,77,14775,26.8823357212794,824.594141441569,6.01947604077865e-61,0
"all",15966,12.6113744075829,70.358150942996,4950.26940411742,0,0,0,8,2167,23.7298050844479,701.182539382918,4.83106754249959e-60,0
