"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",52,0.0466367713004484,0.210954247875996,0.044501694696927,0,0,0,0,1,4.30014253815725,19.4912258484695,9.80845528479941e-56,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",20,0.0179372197309417,0.132782862953914,0.017631288694238,0,0,0,0,1,7.26417681779447,53.7682648401827,7.42193440390043e-58,4.52222491198473e-06
"ComplexClass",75,0.0672645739910314,0.250592040360038,0.0627963706918067,0,0,0,0,1,3.45525426724026,12.9387820512821,1.75954419335179e-54,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",53,0.0475336322869955,0.212872795794151,0.0453148271892183,0,0,0,0,1,4.25295681698016,19.087641687098,1.12101977727127e-55,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",253,0.226905829596413,0.419019143107974,0.17557704229094,0,0,0,0,1,1.30407749186325,2.70061810478435,9.51319442522858e-48,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",2,0.00179372197309417,0.0423333415848914,0.0017921118097431,0,0,0,0,1,23.547861833831,555.501796945193,1.43511625123298e-59,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",455,0.408071748878924,0.635095205023253,0.403345919443528,0,0,0,1,4,1.546636064934,5.36275986948259,8.99634543885235e-43,0
"LOC",94771,84.9964125560538,158.208030632449,25029.780956598,0,17,40,94,2790,7.47057920370963,95.0607304651632,5.58499441623327e-50,0
"all",533,0.478026905829596,4.66818288753213,21.7919314714478,0,0,0,0,92,13.8492485748737,224.591496248065,1.82639398081771e-58,0
