"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","247","","","","","","","","","","","","",""
"Blob_0","247","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","246","","","","0.0640921409214092","","","","0.246375338753388","","","","",""
"ComplexClass_0","230","","","0.00317460317460317","","","","","0.235797101449275","","","","",""
"LargeClass_0","247","","","","","","","","","","","","",""
"LazyClass_0","245","","","0.00298023971493359","0.0643537414965986","","","","0.250442176870748","","","","",""
"LongMethod_0","247","","","","","","","","","","","","",""
"LongParameterList_0","201","","","0.000236910684671879","0.0518123667377399","","","","","","","","",""
"MessageChains_0","247","","","","","","","","","","","","",""
"RefusedParentBequest_0","247","","","","","","","","","","","","",""
"SpaghettiCode_0","247","","","","","","","","","","","","",""
"SpeculativeGenerality_0","247","","","","","","","","","","","","",""
"SwissArmyKnife_0","247","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","1","","","","0","","","","0.75","","","","",""
"ComplexClass_1","17","","","0","","","","","0.419117647058824","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","2","","","0","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","46","","","0.0148378191856453","0.116356107660455","","","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
