"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","34","","","0.0576","0.0976470588235294","","","","-0.463811764705882","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","43","0.0551948051948052","","","0.080225007550589","","","","-0.416679250981577","","","","",""
"ComplexClass","27","0.0170534458509142","","0.0201593999062354","","","","","-0.0274261603375527","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","41","0.00193385428999921","","0.00481490251795722","-0.100639355908122","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
