"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","34","","","0.15091671913404","0.0925621322177682","","","","3.85536734551797e-12","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","43","0.114352800577645","","","0.122856947976447","","","","3.32260882322242e-12","","","","",""
"ComplexClass","27","0.696184830161398","","0.653054237866171","","","","","0.713529570821446","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","41","0.957701207056078","","0.896458777758348","0.0583354428708568","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
