"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","25","","","5.87425273192974e-21","0.41766478887315","","1","","1","","1","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","55","5.87425273192978e-21","","","0.0138074916261069","","0.621162742109859","","0.149868099559462","","1","","",""
"ComplexClass","91","0.41766478887315","","0.0138074916261069","","","0.409677006445506","","8.17499686646771e-05","","1","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","24","1","","0.621162742109859","0.409677006445506","","","","0.71730181565938","","1","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","115","1","","0.149868099559462","8.17499686646773e-05","","0.71730181565938","","","","1","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","3","1","","1","1","","1","","1","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
