"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","","","0.00292787691659783","","","","0.714803957311931","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","0","","","","","","","","","","","","",""
"ComplexClass","14","0.00114528349570475","","","","","","","0.610563272023588","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","1","0.959060623178132","","","0.722539954524084","","","","0.714803957311931","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","12","0.793185748243273","","","0.730224139387347","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
