"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","174","","","","","","","","","","","","",""
"Blob_0","174","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","174","","","","","","","","","","","","",""
"ComplexClass_0","164","","","","","","0.000190548780487805","","0.0606316320874248","","","","",""
"LargeClass_0","174","","","","","","","","","","","","",""
"LazyClass_0","172","","","","0.0218158537199235","","","","0.0578115561763818","","","","",""
"LongMethod_0","174","","","","","","","","","","","","",""
"LongParameterList_0","165","","","","0.0227413747868293","","0.000189393939393939","","","","","","",""
"MessageChains_0","174","","","","","","","","","","","","",""
"RefusedParentBequest_0","174","","","","","","","","","","","","",""
"SpaghettiCode_0","174","","","","","","","","","","","","",""
"SpeculativeGenerality_0","174","","","","","","","","","","","","",""
"SwissArmyKnife_0","174","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","0","","","","","","","","","","","","",""
"ComplexClass_1","10","","","","","","0","","0","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","2","","","","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","9","","","","0","","0","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
