"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","3","","","0.00350962237386372","0.00776108594064743","","0.777611765992782","","0.480284515273237","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","6","0.0069213880631971","","","0.0135012385416276","","0.684774239144652","","0.903274233944004","","","","",""
"ComplexClass","27","0.0326762256589036","","0.000451499749910491","","","0.125886477106086","","0.966343507540476","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","12","0.630899815327335","","0.530963746505215","0.278218900718378","","","","0.0392327042404594","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","29","0.444240238813647","","0.246734237634453","0.000312740354877693","","0.0101197834699737","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
