"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","315","","","","","","","","","","","","",""
"Blob_0","315","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","285","","","","0.0304228520017994","","","","0.00331084120557805","","","","",""
"ComplexClass_0","300","","","0.0382142857142857","","","","","0.00384126984126984","","","","",""
"LargeClass_0","315","","","","","","","","","","","","",""
"LazyClass_0","315","","","","","","","","","","","","",""
"LongMethod_0","315","","","","","","","","","","","","",""
"LongParameterList_0","311","","","0.0355270131797463","0.0363773953806108","","","","","","","","",""
"MessageChains_0","315","","","","","","","","","","","","",""
"RefusedParentBequest_0","315","","","","","","","","","","","","",""
"SpaghettiCode_0","315","","","","","","","","","","","","",""
"SpeculativeGenerality_0","315","","","","","","","","","","","","",""
"SwissArmyKnife_0","315","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","30","","","","0.104761904761905","","","","0.00952380952380952","","","","",""
"ComplexClass_1","15","","","0.0723076923076923","","","","","0.00512820512820513","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","0","","","","","","","","","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","4","","","0.375","0.125","","","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
