"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","8","","","0.0129509713228492","0.10522664199815","","","","0.0558510638297872","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","24","","","","-0.252737651444548","","","","-0.238466915191053","","","","",""
"ComplexClass","108","","","-0.0620172791608291","","","","","-0.132813341954952","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","80","","","-0.0749581339712919","-0.185311004784689","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
