"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","3","","","-0.300610094287299","0.103161397670549","","0.00332778702163062","","0.0632279534109817","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","4","-0.242083333333333","","","-0.1575","","0.0025","","-0.19","","","","",""
"ComplexClass","31","0.0104712041884817","","-0.0324832517029781","","","0.00349040139616056","","-0.00236446546191522","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","4","0.0075","","0.025","0.0775","","","","0.0475","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","9","0.0100840336134454","","-0.0765639589169001","-0.109803921568627","","0.00336134453781513","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
